,index,Unnamed: 0,date,open,high,low,close,volume,average,barCount,symbol,Minute,prev_close,long_signal
0,59,59,2023-02-13 15:29:00+00:00,75.325,75.435,75.315,75.425,-1.0,-1.0,-1,AAPL,29,,0
1,119,119,2023-02-13 16:29:00+00:00,75.765,75.845,75.765,75.835,-1.0,-1.0,-1,AAPL,29,75.425,0
2,179,179,2023-02-13 17:29:00+00:00,76.045,76.125,76.035,76.115,-1.0,-1.0,-1,AAPL,29,75.835,0
3,239,239,2023-02-13 18:29:00+00:00,76.235,76.295,76.19,76.235,-1.0,-1.0,-1,AAPL,29,76.115,0
4,299,299,2023-02-13 19:29:00+00:00,75.975,76.025,75.885,75.925,-1.0,-1.0,-1,AAPL,29,76.235,1
5,359,359,2023-02-13 20:29:00+00:00,75.925,75.995,75.905,75.995,-1.0,-1.0,-1,AAPL,29,75.925,0
6,449,449,2023-02-14 15:29:00+00:00,76.96,76.995,76.7,76.76,-1.0,-1.0,-1,AAPL,29,75.995,0
7,509,509,2023-02-14 16:29:00+00:00,74.915,74.925,74.735,74.805,-1.0,-1.0,-1,AAPL,29,76.76,1
8,569,569,2023-02-14 17:29:00+00:00,75.185,75.245,75.125,75.135,-1.0,-1.0,-1,AAPL,29,74.805,0
9,629,629,2023-02-14 18:29:00+00:00,76.345,76.365,76.245,76.265,-1.0,-1.0,-1,AAPL,29,75.135,0
10,689,689,2023-02-14 19:29:00+00:00,76.245,76.32,76.225,76.275,-1.0,-1.0,-1,AAPL,29,76.265,0
11,749,749,2023-02-14 20:29:00+00:00,76.605,76.635,76.555,76.6,-1.0,-1.0,-1,AAPL,29,76.275,0
12,839,839,2023-02-15 15:29:00+00:00,75.455,75.475,75.285,75.375,-1.0,-1.0,-1,AAPL,29,76.6,1
13,899,899,2023-02-15 16:29:00+00:00,75.885,76.055,75.875,76.035,-1.0,-1.0,-1,AAPL,29,75.375,0
14,959,959,2023-02-15 17:29:00+00:00,75.555,75.555,75.355,75.415,-1.0,-1.0,-1,AAPL,29,76.035,1
15,1019,1019,2023-02-15 18:29:00+00:00,76.155,76.175,76.115,76.165,-1.0,-1.0,-1,AAPL,29,75.415,0
16,1079,1079,2023-02-15 19:29:00+00:00,76.545,76.665,76.545,76.645,-1.0,-1.0,-1,AAPL,29,76.165,0
17,1139,1139,2023-02-15 20:29:00+00:00,76.435,76.445,76.365,76.425,-1.0,-1.0,-1,AAPL,29,76.645,1
18,1229,1229,2023-02-16 15:29:00+00:00,74.935,75.115,74.925,75.095,-1.0,-1.0,-1,AAPL,29,76.425,1
19,1289,1289,2023-02-16 16:29:00+00:00,75.465,75.685,75.455,75.575,-1.0,-1.0,-1,AAPL,29,75.095,0
20,1349,1349,2023-02-16 17:29:00+00:00,75.905,75.925,75.835,75.865,-1.0,-1.0,-1,AAPL,29,75.575,0
21,1409,1409,2023-02-16 18:29:00+00:00,75.605,75.665,75.575,75.615,-1.0,-1.0,-1,AAPL,29,75.865,1
22,1469,1469,2023-02-16 19:29:00+00:00,76.245,76.265,76.185,76.195,-1.0,-1.0,-1,AAPL,29,75.615,0
23,1529,1529,2023-02-16 20:29:00+00:00,74.485,74.545,74.375,74.375,-1.0,-1.0,-1,AAPL,29,76.195,1
24,1619,1619,2023-02-17 15:29:00+00:00,72.565,72.615,72.445,72.485,-1.0,-1.0,-1,AAPL,29,74.375,1
25,1679,1679,2023-02-17 16:29:00+00:00,71.61,71.725,71.605,71.695,-1.0,-1.0,-1,AAPL,29,72.485,1
26,1739,1739,2023-02-17 17:29:00+00:00,72.285,72.315,72.235,72.245,-1.0,-1.0,-1,AAPL,29,71.695,0
27,1799,1799,2023-02-17 18:29:00+00:00,71.835,71.865,71.795,71.805,-1.0,-1.0,-1,AAPL,29,72.245,1
28,1859,1859,2023-02-17 19:29:00+00:00,72.555,72.615,72.535,72.575,-1.0,-1.0,-1,AAPL,29,71.805,0
29,1919,1919,2023-02-17 20:29:00+00:00,72.875,72.905,72.725,72.815,-1.0,-1.0,-1,AAPL,29,72.575,0
